label	text
0	""" 

 == Jo-LEE! == 

  

 You bitch! Well, just kidding. Anyway, I just thought I'd let you know that you officially get BER-AD! Sloppy seconds! J/K again. Like I said; you can have 'im, cuz I'm DONE! Bai! 

   """
0	"Critics of Roman Catholicism.== 

 You have made attacks on a number of critics of Roman Catholicism, especially on me, because I admire Ian Paisley of Ulster, & for the fact that I am very strongly sympathetic towards the Democratic Unionist Party. I have always been extremely anti-republican in sentiment, because of republicanism's associations with Sinn Féin/I.R.A.'s terrorist campaign, ZANU-PF's campaign of barbarism in Zimbabwe, & apartheid in pre-1994 South Africa. I hope that this answers your question. - ( ) 

 =="
0	"== Heterophobia == 
 Are you heterophobic Edgarde?"
0	"== Main Picture == 

 It might be helpful to get a main picture at the top of the page, like the current Star Trek franchise logo, or the delta symbol, or something of that nature. It would be more recognizable."
0	""":::: Ok, now I understand your way to look at the situation but I still dont't find this makes things clear about the """"paradox"""". The problem is that we *have proved* that for any possible n if my envelop contains  then the best thing to do is to change the envelope. We can say exactly what is the expected gain I recive: it is  (another way to express 2^(n−2)q(1 − 2q)/R ). It is a well defined positive number for any possible n. So now let's leave the probability theory and use pure logic: if for any possible sum that I could find in the envelop the best thing is to change, WHY should I waste time looking at it? Let's change immediatly! *This* sounds paradoxical, and this is not explained by the argument about ∞ − ∞!!  

 """
0	"== titace == 

 You are ricin humiliatscccyt"
0	"== THE REAL RIVALS == 

 Ok im going to set the record straight.  The two main rivals are the Cubs and the Royals.  I know some people dont consider the Royals to be a rival because its and inerleague match up, but i asure you it is a rivalry.  Ive been to plenty of Card/Royals games in Kansas City and the hostilaty is crazy.  The tention is high and theres almost more Cardinals fans than Royals.  Theres alot of smack talk and good games, even though the Royals suck.  Ive had a blast at many of these games and they felt like a fierce and healthy rivalry to me.  

                                                                                  J. Licata"
0	""" 
 :::Yeah, I have the missing article list watchlisted.  Oh, and ignore that """"phone company"""" van parked outside your house for the last three weeks.  Nothing to see there, move along.  (whistles)   On KLUU, I normally create the short article anyway since the ownership can change (the EMF trades stations on a routine basis) and it's better to have a real article on which to hang the changes than a blind redirect to an article that doesn't really have all the same information.  Others editors may have differing philosophies. -   """
0	"== middlebury again == 

 Hello, 
 There is a problem with the Middlebury College page again.  I now agree with your point from before (about urban dictionary), but this time I think you will see something much worse is going now on.  I added information and quotes about the campus wikipedia controversy (with a link to the NY Times).  It was immediately removed.  Please protect the page."
0	"=== Capital === 
 Where is the capital?"
0	"Opposition to gay rights and support of sodomy laws, in the belief that homosexuality is a violation of Christian doctrine and should be criminalized 

 Being gay by definition involves sex.  Unless of course you are celibate which would then make you asexual not homosexual.  And the word homosexuality by root is sexuality.  The Christian Right does support the criminalization of sexuality for homosexuals.  I suppose you could clarify that distinction, but there is no fallacy in the current sentence."
0	Thank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia.  /
0	"""== Copyright problem removed == 

 Prior content in this article duplicated one or more previously published sources. The material was copied from: http://midaircondo.com/?page_id=16. Copied or closely paraphrased material has been rewritten or removed and must not be restored, unless it is duly released under a compatible license. (For more information, please see """"using copyrighted works from others"""" if you are not the copyright holder of this material, or """"donating copyrighted materials"""" if you are.) For legal reasons, we cannot accept copyrighted text or images borrowed from other web sites or published material; such additions will be deleted. Contributors may use copyrighted publications as a source of information, but not as a source of sentences or phrases. Accordingly, the material may be rewritten, but only if it does not infringe on the copyright of the original or plagiarize from that source. Please see our guideline on non-free text for how to properly implement limited quotations of copyrighted text. Wikipedia takes copyright violations very seriously, and persistent violators will be blocked from editing. While we appreciate contributions, we must require all contributors to understand and comply with these policies. Thank you.    """
0	""" 

 == Complete article rewrite proposal == 

 (I have no affiliation with space syntax. I'm an archaeologist, presently working on a PhD in which I use space syntax methods to analyse an ancient settlement plan - which is just a small part of my research) 

 In my view the present article does no justice to what space syntax is, neither do the various comments on this talk page. I realise that most people are familiar with the theory through urban planning, and regard space syntax as an applied method for urban design. The first two sentences of the article are telling:  

 """"The term space syntax encompasses a set of theories and techniques for the analysis of spatial configurations. It was conceived by Bill Hillier, Julienne Hanson and colleagues at The Bartlett, University College London in the late 1970s to early 1980s as a tool to help urban planners simulate the likely social effects of their designs."""" 

 First, 'a set of theories and techniques for the analysis of spatial configuration is too narrow as a definition. Second, helping urban planners was not at all the reason for developing space syntax.  

 As I see it, space syntax is first and foremost a theory about the relation between space and society. This can be read in the introductory chapter of Hillier & Hanson's the social logic of space (1984). Here (and on a multitude of other places) they argue that the current paradigm found in sociology, social geography, and anthropology to name a few, does not succeed in describing nor explaining the relation between people and their built environment accurately. As Hillier in his writings engages with many influential theories in the social sciences (from 'biggies' as Durkheim to Levi-Strauss and Giddens) his aims are clearly much larger than just providing urban planners with some useful tools.  

 As a matter of fact, the theory having some relevance for urban planning is just an accident, a by-product of the subsequent theory testing on real world situations. At some point they discovered that the integration values of the axial map corresponded well with observed aggregated movement flows of pedestrians and certain land uses (first main insights of these investigations published by Hillier et al in 1993). Many more cases of such studies followed, testing other variables as well, but generally with the same results. So they concluded that axial lines could more or less predict human presence and movement within urban grids. They were initially as puzzled about this as one of the above commentators on this talk page: """"Why should the axial organization of space be so fundamental?"""" Hillier et al wonder in their 1993 article (p. 62). In the years after the hypothesis was developed that this related to the way people cognize space and spatial relations, which, against common assumption, is not primarily determined by metric factors. Recent cognitive research in way finding behaviour is starting to confirm this picture.  

 Also the assertion of user jmanooch that """"SS salesfolks and researchers will claim they can do all these things [solving real urban design problems], but they can't"""" is not really a fair assessment of space syntax in my view. I may of course be wrong here because I have no insight in the workfloor dynamics of the urban planning profession. But this quote of the end of their 1993 article might represent better their view on the usefulness of space syntax for urban design: """"It does not tell designers what to do. It helps them to understand what they are doing"""". 

 Anyway, long story short (too late for that..): this article needs a thorough rewrite.  

 1. It needs to position space syntax theory in relation to other social theories about the relation between space and society  
 2. It needs to represent the history and original aims of space syntax research more faithfully  
 3. It needs to discuss its subsequent reception or uses in various (academic and applied) fields, not only urban design/planning (although clearly, here it has had the most impact)  
 4. And of course the criticism that space syntax theory and method received should be systematically dealt with, including replies by Hillier & others. Now it only contains a very imprecise review of Ratti's 2004{{cite journal|last1=Ratti|first1=C|title=Urban Texture and Space syntax: some inconsistencies|journal=Environment and Planning B: Planni"
0	""" 

 == RE:Criminal Investigation Department == 

 I have my suspicions of who the IP is a sockpuppet of, whoever it is constantly hounds my edits thats why I warn and revert him. He cyber stalks me. Police,Mad,Jack (talk · contribs)☺ """
0	""" May 2013 (UTC) 
 ::::Now is there really any need for that? Aren't Admin supposed to be WP:CIVIL, WP:AGF? I've seen a bit from you now that really is disturbing and unwarranted, no one in this dispute including the Ip has fallen to that low of a level of discourse. Are you talking like this to everyone? I've had a few interactions with you before but nothing that would lead to the attitude you are exhibiting now. If you read the Sockpuppet investigation page it states """"Try to assume good faith in relation to all but the most obvious socks"""" and that is exactly what I was doing assuming good faith by asking because you already have one sock, not too hard to just edit logged out and with comments coming saying that the other account of the IP has admin rights it was possible. That and your attitude about Ip treatment which mirrored comments by them, if you can't/won't understand this I'll leave it at this. I'm sorry but I do try to follow the guidelines whatever you/they want to believe. Either way I notice that I am not the only person having issues with that particular person as evidenced by their hitlist and general interaction and there is now plenty of people watching to halt the disruption so I can step out of the dispute now.     02:02, 4"""
0	:Please try not to start new sections if there are already (multiple) other sections discussing the same issues.  And please try to post new comments at the bottom of Talk pages.  This will help us stay on task and lessen potential confusion.  Thanks!
0	"""==June 2010== 

  
 Hello, Humanpower, and welcome to Wikipedia! Thank you for . I hope you like the place and decide to stay. Our intro page provides helpful information for new users - please check it out! If you need help, visit Wikipedia:Questions, ask me on my talk page, or place {{helpme}} on this page and someone will show up shortly to answer your questions.  Happy editing!  """
0	:Opposed. FGM is not circumcision.
0	"I'm not sure I understand you. I believe you are referring to Chinese characters but I ca'nt see where they are in the article. If there are any, they are either historic or have been copied inadvertantly. Perhaps you could expand on your point. Thanks   
 #"
0	""" 

  Please do not vandalize pages, as you did with this edit to Sphincter of Oddi. If you continue to do so, you will be blocked from editing.    """
1	The largest deer of all time is the african stupid moose.
0	""" 
 :You are correct, my apologies for that.  I mixed my citations up a bit.  I have fixed it now, sorry for any inconvenience.   """
0	""" 

 == Awkward sentence under """"Background""""a == 

 The sentence below is very awkward and detracts from the overall merits of this article.  

 :He also wrote an unpublished """"Sea-Chase"""" story which his wife and editor combined with the stories about the islands, renamed Islands in the Stream and published in 1970.[2] 

 1.) I believe it should be specified that his wife was the editor of Islands in the Stream, rather than in the ambiguous instance above.  
 2.) My main grief is that it refers to this article in the 3rd person. It is just a hastily-thrown-together sentence that seems pasted from another article (it may very-well be but I did not check out the citation. 

 Please let me know if I'm just being crazy - Ñǀʛʛɑþħðńę  ; August 11th 2011"""
1	You are a french faggot and you like watching men mud wrestle!!!!!!
0	I don't know how to talk in this. Still listening?
0	:Agree this would be helpful as well. ++: /
0	""" 

 Hi. I totally approve of your reversion of the vandalism on Terri Schiavo, but I'd be grateful if you didn't refer to the vandal as a """"Jesus freak"""". The vandal doesn't mention religion at all. Thanks.  """
0	"""::::::Correction not relevant to this discussion....well, no it is, by way of further examples of endonyms replacing older """"English"""" terms.  I was wrong about the two peoples named; the Tsuu T'ina are """"most people know them as"""" to use the refrain, the Sarcee; the Blood are the Kainai """"now"""".  Similarly, the people once known simple as """"the Lakes"""" are now the Sinixt; their history is intertwined with that of the Ktunaxa.   
 """
0	Stop the vandalism of user pages or else you will be banned.
0	I have tagged the image as public domain. This means that the creator has given permission for everyone to use the image for any purpose. Thank you for clarifying the situation.
